date,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,leagueName,description,teamOrder,possessionPct,foulsCommitted,offsides,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,country,teamRank,wins,ties,losses,points,gf,ga,gd,season,day_type
2024-03-10 03:00:00,False,False,2,2,USL Championship,Full Time,Away,46.3,9,0,7,3,0.4,0,0,0.8,3,12,0.3,54,25,0.5,2,11,15,0.7,8,22,USA,6,13,7,14,46,38,45,-7,Spring,Weekend
2024-03-14 01:00:00,False,False,1,1,USL Championship,Full Time,Home,44.7,13,1,7,5,0.7,0,0,0.8,0,6,0.0,49,20,0.4,1,6,7,0.9,10,16,USA,12,8,8,18,32,27,46,-19,Spring,Weekday
2024-03-14 01:00:00,False,False,1,1,USL Championship,Full Time,Away,55.3,9,2,19,4,0.2,0,0,0.8,10,28,0.4,74,45,0.6,6,11,22,0.5,9,11,USA,11,8,10,16,34,29,44,-15,Spring,Weekday
2024-03-16 19:00:00,False,True,0,1,USL Championship,Full Time,Home,55.4,15,3,13,6,0.5,0,0,0.7,2,8,0.3,64,16,0.3,1,5,14,0.4,8,17,USA,12,8,8,18,32,27,46,-19,Spring,Weekend
2024-03-16 19:00:00,False,True,0,1,USL Championship,Full Time,Away,44.6,11,2,11,4,0.4,0,0,0.7,4,15,0.3,73,25,0.3,3,5,12,0.4,17,21,USA,1,24,4,6,76,86,43,43,Spring,Weekend
2024-03-16 20:00:00,True,False,3,1,USL Championship,Full Time,Home,52.3,11,4,9,4,0.4,0,0,0.8,3,12,0.3,52,25,0.5,1,5,8,0.6,13,23,USA,11,11,9,14,42,44,39,5,Spring,Weekend
2024-03-16 20:00:00,True,False,3,1,USL Championship,Full Time,Away,47.7,14,2,11,2,0.2,0,0,0.8,4,22,0.2,53,22,0.4,3,12,20,0.6,10,12,USA,8,13,9,12,48,54,43,11,Spring,Weekend
2024-03-16 20:00:00,False,False,1,1,USL Championship,Full Time,Home,50.8,17,2,21,9,0.4,0,0,0.7,5,16,0.3,61,24,0.4,5,25,38,0.7,9,17,USA,5,12,15,7,51,56,41,15,Spring,Weekend
2024-03-16 20:00:00,False,False,1,1,USL Championship,Full Time,Away,49.2,14,3,9,6,0.7,0,0,0.7,1,9,0.1,66,26,0.4,1,14,20,0.7,17,10,USA,1,18,5,11,59,46,44,2,Spring,Weekend
2024-03-16 20:00:00,False,True,1,2,USL Championship,Full Time,Home,58.6,13,1,20,5,0.3,0,0,0.7,7,18,0.4,99,47,0.5,4,6,19,0.3,10,25,USA,3,14,9,11,51,52,41,11,Spring,Weekend
